slug,name,category,why_selected,agent_access_tier,agent_confidence,agent_primary_blocker,evidence_urls,truth_access_tier,truth_evidence_url,why_it_failed
salesloft,Salesloft,CRM & Sales,expected-gated but returned self-serve,self_serve_free,medium,,https://developers.salesloft.com/docs/platform/api-basics/oauth-authentication | https://developers.salesloft.com/docs/platform/api-basics/api-key-authentication | https://developers.salesloft.com/docs/platform/frontend-integrations/authentication-and-flow,paid_plan_required,https://www.salesloft.com/pricing,"Pricing page publishes no plans and no signup path -- 'Packages designed for results ... For other pricing questions, please contact us'. No free tier, no self-serve account. The extractor cited developers.salesloft.com OAuth and API-key pages, which describe how to authenticate once you already have an account, and read documented auth as obtainable credentials."
apollo_io,Apollo.io,CRM & Sales,expected-gated but returned self-serve,self_serve_free,medium,,https://docs.apollo.io/reference/authentication | https://docs.apollo.io/docs/use-oauth-20-authorization-flow-to-access-apollo-user-information-partners | https://docs.apollo.io,self_serve_free,https://www.apollo.io/pricing,"CORRECT. A Starter plan is free forever and basic API access is included on all plans; the pricing page gates only advanced use -- 'We also offer API Access on our Custom plans for more advanced integrations'. Rate limits, not access, scale with the plan."
gorgias,Gorgias,Customer Support,expected-gated but returned self-serve,self_serve_free,medium,,https://developers.gorgias.com/reference/authentication | https://developers.gorgias.com/docs/oauth2-bearer-token | https://developers.gorgias.com/docs/set-up-oauth2-app-store,paid_plan_required,https://www.gorgias.com/pricing,"No free tier exists. Plans are Starter $10/mo, Basic $60, Pro $360, Advanced $900, Enterprise custom, with a 7-day trial. A trial is an evaluation window, not a tier of access. The extractor cited developers.gorgias.com auth pages and read documented OAuth as obtainable credentials."
deel,Deel,HR & Recruiting,expected-gated but returned self-serve,self_serve_free,medium,,https://developer.deel.com/api/authentication.mdx | https://developer.deel.com/api/oauth.mdx | https://developer.deel.com/api/quickstart.mdx,paid_plan_required,https://www.deel.com/pricing/,"Pricing page lists no free plan: $49/contractor/mo, $325 contractor-of-record, $125 US PEO, $599 EOR. Tokens are generated inside a paying customer's org via Apps & Integrations > Developer Center. A free sandbox exists for testing but not for production access. The extractor cited developer.deel.com authentication and quickstart pages."
brex,Brex,Finance & Accounting,expected-gated but returned self-serve,self_serve_free,medium,,https://developer.brex.com/guides/partner_authentication | https://developer.brex.com/guides/authentication | https://developer.brex.com,self_serve_free,https://www.brex.com/pricing,CORRECT. Essentials is $0/user/month and the plan comparison lists 'Brex API access' at that tier.
bill_com,BILL,Finance & Accounting,expected-gated but returned self-serve,self_serve_free,high,,https://developer.bill.com/reference/ap-ar-authentication | https://developer.bill.com/reference | https://developer.bill.com/reference/login,paid_plan_required,https://www.bill.com/pricing,"API access is listed only on Corporate ($89/user/mo) and Enterprise. Essentials ($49) and Team ($65) do not include it. Called self_serve_free at HIGH confidence off developer.bill.com reference pages -- the docs are public, the API is not."
databricks,Databricks,Analytics & Data,expected-gated but returned self-serve,self_serve_free,medium,,https://docs.databricks.com/aws/en/dev-tools/auth | https://docs.databricks.com/aws/en/security/auth | https://docs.databricks.com/aws/en/dev-tools/auth/oauth-u2m,self_serve_free,https://docs.databricks.com/aws/en/getting-started/free-edition-limitations,"CORRECT, with a caveat the schema cannot hold. Free Edition is free and self-serve, and workspace APIs are usable, but it is 'Non-commercial use only' and has 'No access to the account console or account-level APIs'. Self-serve for building, not for shipping."
salesforce,Salesforce,CRM & Sales,returned gated -- check it is not a false positive,no_public_api,low,research failed; not assessed,unresolved://salesforce,,,"NOT CHECKED. Research failed for this row, so the pipeline made no tier claim to score, and the vendor page that would settle it (salesforce.com/products/free-trial/developer/) returned 403 to this session. Left blank rather than asserted."
outreach,Outreach,CRM & Sales,returned gated -- check it is not a false positive,partner_gated,medium,API access requires a request/approval process to obtain OAuth credentials,https://developers.outreach.io | https://developers.outreach.io/api | https://developers.outreach.io/api/getting-started,partner_gated,https://www.outreach.ai/pricing,"CORRECT on the gated/self-serve split. Pricing is contact-sales only with no free plan and no self-serve signup; API call allowances are per package (250k Essentials/Core, 500k Plus, 1M Pro). The specific member -- partner_gated over paid_plan_required -- rests on the OAuth app request process in the developer docs, not on the pricing page."
whatsapp_business,WhatsApp Business Platform,Communication,returned gated -- check it is not a false positive,paid_plan_required,medium,Paid plan required for API usage,https://developers.facebook.com/docs/whatsapp | https://developers.facebook.com/docs/whatsapp/pricing,paid_plan_required,https://developers.facebook.com/docs/whatsapp/pricing,"CORRECT on the split, weakly evidenced on the member. The pricing page settles billing -- 'You are only charged when a template message is delivered', service-window messages free -- rather than credential access. A Meta test number is obtainable self-serve, so this row is arguable either way and should not be counted as a clean confirmation."
braze,Braze,Marketing,returned gated -- check it is not a false positive,paid_plan_required,high,API access requires a paid plan,https://learning.braze.com/rest-api-basics | https://apis.io/providers/braze | https://www.findapi.dev/api/braze,paid_plan_required,https://www.braze.com/pricing,CORRECT. No published pricing and no free plan; the page offers 'Get pricing' and a trial request only. Note this is the same app whose has_mcp claim rested on apis.io.
expensify,Expensify,Finance & Accounting,returned gated -- check it is not a false positive,partner_gated,high,API access requires an enterprise customer agreement; the API is not accepting new applications at this time,https://www.expensify.com/api-sso.html | https://www.expensify.com/api.html | https://www.expensify.com/api-whitelabel.html,partner_gated,https://www.expensify.com/api.html,"CORRECT. The vendor's own API overview states the API is not accepting new applications and directs enterprise customers to the Integration Server, which matches the recorded blocker."
