slug,name,category,agent_confidence,agent_auth_methods,agent_access_tier,agent_api_style,agent_api_breadth,agent_has_mcp,agent_buildable_today,agent_primary_blocker,evidence_urls,verdict_auth,verdict_tier,verdict_api,verdict_mcp,verdict_buildable,truth_notes,why_it_failed
amplitude,Amplitude,Analytics & Data,medium,Basic | Bearer Token,self_serve_free,REST,moderate,false,yes,,https://amplitude.com/docs/apis/authentication | https://amplitude.com/docs/en/apis/authentication | https://amplitude.com/docs/pricing,,,,,,,
mixpanel,Mixpanel,Analytics & Data,low,Unknown,no_public_api,None,narrow,false,no,research failed; not assessed,unresolved://mixpanel,,,,,,,
copper,Copper,CRM & Sales,medium,API Key | OAuth2,self_serve_free,REST,broad,false,yes,,https://developer.copper.com/introduction/authentication.html | https://developer.copper.com/introduction/oauth/quickstart.html | https://developer.copper.com,,,,,,,
zoho_crm,Zoho CRM,CRM & Sales,medium,OAuth2,self_serve_free,REST | GraphQL,moderate,true,yes,,https://www.zoho.com/crm/developer/docs/api/v8/oauth-overview.html | https://www.zoho.com/crm/developer/docs/api/v8/auth-request.html | https://www.zoho.com/crm/developer,,,,,,,
front,Front,Communication,high,Bearer Token | OAuth2 | Basic,self_serve_free,REST,moderate,true,yes,,https://dev.frontapp.com/docs/authentication | https://dev.frontapp.com/docs/oauth | https://dev.frontapp.com/docs/core-api-getting-started,,,,,,,
twilio,Twilio,Communication,high,Basic | OAuth2,self_serve_free,REST,broad,false,yes,,https://www.twilio.com/docs/iam/oauth-apps/overview | https://www.twilio.com/docs | https://www.twilio.com/docs/iam,,,,,,,
canva,Canva,Design,medium,OAuth2 | Basic | Bearer Token,self_serve_free,REST,narrow,false,yes,,https://www.canva.dev/docs/connect/authentication | https://www.canva.dev/docs/admin/authentication | https://www.canva.dev/docs/connect/api-reference/authentication,,,,,,,
figma,Figma,Design,medium,OAuth2 | API Key,self_serve_free,REST | Webhooks only,moderate,false,yes,,https://developers.figma.com/docs/rest-api/authentication | https://developers.figma.com/docs/rest-api/oauth-apps | https://developers.figma.com/docs/rest-api,,,,,,,
bill_com,BILL,Finance & Accounting,high,API Key | Bearer Token,self_serve_free,REST,narrow,false,yes,,https://developer.bill.com/reference/ap-ar-authentication | https://developer.bill.com/reference | https://developer.bill.com/reference/login,,,,,,,
expensify,Expensify,Finance & Accounting,high,Partner/Custom,partner_gated,REST,moderate,false,yes_with_caveats,API access requires an enterprise customer agreement; the API is not accepting new applications at this time,https://www.expensify.com/api-sso.html | https://www.expensify.com/api.html | https://www.expensify.com/api-whitelabel.html,,,,,,,
bamboohr,BambooHR,HR & Recruiting,high,OAuth2 | API Key,self_serve_free,REST,moderate,false,yes,,https://documentation.bamboohr.com/reference | https://documentation.bamboohr.com/docs/getting-started | https://documentation.bamboohr.com/docs/sdks,,,,,,,
deel,Deel,HR & Recruiting,medium,API Key | OAuth2,self_serve_free,REST,moderate,false,yes,,https://developer.deel.com/api/authentication.mdx | https://developer.deel.com/api/oauth.mdx | https://developer.deel.com/api/quickstart.mdx,,,,,,,
activecampaign,ActiveCampaign,Marketing,high,API Key,self_serve_free,REST,moderate,true,yes,,https://developers.activecampaign.com/reference/authentication | https://developers.activecampaign.com | https://developers.activecampaign.com/reference,,,,,,,
customer_io,Customer.io,Marketing,medium,Basic | Bearer Token,self_serve_free,REST,moderate,false,yes,,https://docs.customer.io/integrations/api/track-vs-cdp-api | https://docs.customer.io/accounts/settings/managing-credentials,,,,,,,
asana,Asana,Project Management,high,Bearer Token | OAuth2,self_serve_free,REST,moderate,false,yes,,https://developers.asana.com/docs/authentication | https://developers.asana.com/docs/oauth | https://developers.asana.com/docs/getting-started-with-asana-oauth,,,,,,,
basecamp,Basecamp,Project Management,high,OAuth2 | API Key,self_serve_free,REST,moderate,false,yes,,https://basecamp.com/pricing | https://github.com/basecamp/bc3-api/blob/master/sections/authentication.md | https://github.com/basecamp/api/blob/master/sections/authentication.md,,,,,,,
calendly,Calendly,Scheduling,medium,API Key | OAuth2,self_serve_free,REST,moderate,false,yes,,https://developer.calendly.com/authentication | https://developer.calendly.com/creating-an-oauth-app | https://developer.calendly.com/when-to-choose-between-personal-access-tokens-and-oauth,,,,,,,
airtable,Airtable,Storage & Documents,medium,Bearer Token | OAuth2,self_serve_free,REST,broad,false,yes,,https://airtable.com/developers/web/api/authentication | https://airtable.com/developers/web/guides/oauth-integrations | https://airtable.com/developers/web/api/oauth-reference,,,,,,,
box,Box,Storage & Documents,high,OAuth2,self_serve_free,REST,moderate,false,yes,,https://developer.box.com/guides/authentication | https://developer.box.com/platform/authentication-methods | https://developer.box.com/reference/post-oauth2-token,,,,,,,
